comment_id,texto_original,texto_modelo,texto_sha256,sentimiento,etiqueta_modelo,prob_negativo,prob_neutral,prob_positivo,confianza,margen_confianza,baja_confianza,modelo,revision_modelo,transformers_version,max_length
Ugw-J65a1iYL9hqhELh4AaABAg,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,2565cd9f6f292f1f5ea71aaf2620c54e453f5ec6f68bdf3fa6c0b7eb0a53c68a,negativo,NEG,0.8077868819236755,0.14628511667251587,0.04592809081077576,0.8077868819236755,0.6615017652511597,False,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,4.57.6,128
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.","Están jóvenes porque no buscan un trabajo, tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",720fd512483c738abc171fc3f79a7d24995fa7e7cba44616fac4e871218656a0,negativo,NEG,0.9573979377746582,0.03683771938085556,0.005764244589954615,0.9573979377746582,0.9205602183938026,False,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,4.57.6,128
Ugw0xaOb2CYXXoudtwJ4AaABAg,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila","Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",d4da68e7cdb857bf20a7bfb7cffe5cd9f209596a5adddab582174298f0c72998,negativo,NEG,0.9713771343231201,0.025966880843043327,0.002656030235812068,0.9713771343231201,0.9454102534800768,False,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,4.57.6,128
Ugw0xgUc2ISpBr5_T654AaABAg,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,c379160eb6f8fc6d3a77eaad9f4d5019de3aa1184a7ef5321797ec383fd0ceac,negativo,NEG,0.7018648982048035,0.2676485478878021,0.030486587435007095,0.7018648982048035,0.43421635031700134,False,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,4.57.6,128
Ugw1ZzA21njWhaqQQTh4AaABAg,"eso es para que salga de USA por su propio pie 
que se auto deporten",eso es para que salga de USA por su propio pie que se auto deporten,776a782154819ce3307e977cff0201e9797e3aae401dd9ba731a70c361ae128a,negativo,NEG,0.6980985403060913,0.27964019775390625,0.022261323407292366,0.6980985403060913,0.41845834255218506,False,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,4.57.6,128
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,Imagine if they had to walk back home.,Imagine if they had to walk back home.,0f3ed48191778cc4d4a1ef453e9be9182342826fab170d22dcca3639f452f7a9,neutral,NEU,0.30897507071495056,0.5396040678024292,0.1514209508895874,0.5396040678024292,0.23062899708747864,True,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,4.57.6,128
Ugw2014OIYf336oytFt4AaABAg,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,6f5c923264ef0720494f27656d72c416e36519b00a33f9732e217f5f59750c20,positivo,POS,0.021916138008236885,0.388818621635437,0.5892652273178101,0.5892652273178101,0.20044660568237305,True,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,4.57.6,128
Ugw2bSVOoNn2pc8ZcUl4AaABAg,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.","Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",4ef7fdb66eef1c56d27c085b8adca18528b7304c5df67fce6ff88e3fcae20311,negativo,NEG,0.5835477709770203,0.37668541073799133,0.039766840636730194,0.5835477709770203,0.20686236023902893,True,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,4.57.6,128
Ugw3gnUvLp6AqO0_odt4AaABAg,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,019be76eb5270423199e40e835a3b1cc4ad5f6ca87eec5b974d77d4ad590df8a,positivo,POS,0.049912285059690475,0.24253122508525848,0.7075564861297607,0.7075564861297607,0.46502526104450226,False,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,4.57.6,128
Ugw4C1ijI36l6LAiSZh4AaABAg,LADRONES !!!!,LADRONES !!!!,4eef6826b13ff16c96c93e302c537bb3439579e0fe85a3cab9db55f8c9a51142,negativo,NEG,0.5498986840248108,0.30511170625686646,0.1449895054101944,0.5498986840248108,0.24478697776794434,True,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,4.57.6,128
